iter	Logloss
0	0.6576364001
1	0.6256801252
2	0.5909149583
3	0.5628158186
4	0.5395537542
5	0.5151541889
6	0.4937258812
7	0.4753143158
8	0.4580313742
9	0.4495478008
10	0.441453537
11	0.426889096
12	0.4119935579
13	0.401065802
14	0.3919331127
15	0.3875736576
16	0.3834155704
17	0.3750771031
18	0.3681751517
19	0.3616069968
20	0.355425782
21	0.3526119178
22	0.3475658537
23	0.3448000758
24	0.3422683666
25	0.3375285072
26	0.3328270592
27	0.3309139163
28	0.3271654794
29	0.3257820356
30	0.3242549812
31	0.3227941235
32	0.3210596429
33	0.319950706
34	0.3189113123
35	0.3156885632
36	0.3147810677
37	0.3133987631
38	0.3110704508
39	0.3084487435
40	0.3061889402
41	0.3034995667
42	0.3029405566
43	0.3020701943
44	0.3005180779
45	0.2984383342
46	0.2975396667
47	0.2960093906
48	0.2944579343
49	0.2936358947
50	0.2933235452
51	0.2930273071
52	0.2915877009
53	0.2910974379
54	0.2907328612
55	0.2903853565
56	0.2901684019
57	0.2889218392
58	0.2885338761
59	0.2881728797
60	0.2876871674
61	0.2872760462
62	0.2867323178
63	0.2865256685
64	0.285288039
65	0.2844214375
66	0.2836532825
67	0.2828137721
68	0.282527274
69	0.2822108159
70	0.281416603
71	0.2812148952
72	0.2808735945
73	0.28064913
74	0.2798953526
75	0.279212866
76	0.2791571067
77	0.2791081931
78	0.2783982218
79	0.2781862329
80	0.2780068941
81	0.2776577537
82	0.2770972432
83	0.27683422
84	0.2763790484
85	0.2761404138
86	0.2760422064
87	0.2755706984
88	0.275065216
89	0.2748004422
90	0.2744667699
91	0.2740170446
92	0.2737866694
93	0.2735463373
94	0.2731764698
95	0.2729862563
96	0.272805936
97	0.2726097218
98	0.272413081
99	0.2722822129
100	0.2721604496
101	0.2719245393
102	0.2716311078
103	0.2714594653
104	0.2713586997
105	0.2709860451
106	0.2708291862
107	0.2705495592
108	0.2702721104
109	0.2700605598
110	0.2699459708
111	0.2698893957
112	0.2697902071
113	0.2695842733
114	0.269320569
115	0.2691524085
116	0.2690505912
117	0.2689391229
118	0.268737424
119	0.2684738955
120	0.2683112017
121	0.2681429122
122	0.2680002243
123	0.2678135172
124	0.267709518
125	0.2674508698
126	0.2673361957
127	0.2671695794
128	0.2669716206
129	0.2667363613
130	0.26652777
131	0.2664703491
132	0.2664108081
133	0.2661660608
134	0.2660598303
135	0.2659423078
136	0.2657327217
137	0.2656198728
138	0.2655458617
139	0.2653908271
140	0.2651750668
141	0.2650562183
142	0.2649241436
143	0.2647806228
144	0.2647542002
145	0.2646799357
146	0.2644817489
147	0.2642879824
148	0.2642069666
149	0.2641479449
150	0.263961773
151	0.2638979207
152	0.2637931725
153	0.2636094682
154	0.2634861127
155	0.2634268227
156	0.2633038407
157	0.2631654097
158	0.262950933
159	0.2628452932
160	0.2626955612
161	0.2625302356
162	0.2624245953
163	0.2623310704
164	0.2622485034
165	0.2620795251
166	0.2620687626
167	0.2618850611
168	0.2618064106
169	0.2617291842
170	0.2615731761
171	0.2615017576
172	0.2613926468
173	0.2613107413
174	0.2613106775
175	0.2612702942
176	0.2610937842
177	0.2610234143
178	0.260860598
179	0.2607257035
180	0.2607216728
181	0.2606941
182	0.2605857542
183	0.2605396661
184	0.2605114466
185	0.2603676997
186	0.2602801976
187	0.2601033379
188	0.2600329085
189	0.2599084352
190	0.2598280558
191	0.2596143185
192	0.2595129489
193	0.2595128178
194	0.2594378002
195	0.2593096547
196	0.2592914104
197	0.259210469
198	0.2590868329
199	0.2590121549
200	0.2589767567
201	0.2589135837
202	0.258896139
203	0.2588734327
204	0.2587782953
205	0.2586774568
206	0.2586134105
207	0.2584286781
208	0.2583532822
209	0.2582943506
210	0.258257592
211	0.2581884574
212	0.2580644535
213	0.2579450334
214	0.2578059996
215	0.2576825867
216	0.2576296841
217	0.2575833494
218	0.2573762994
219	0.257185938
220	0.2571147422
221	0.2570077266
222	0.2568941327
223	0.2567979895
224	0.2567076162
225	0.2565929841
226	0.2564728169
227	0.2563661774
228	0.2562830251
229	0.2562502749
230	0.2561421781
231	0.2560552218
232	0.2559036359
233	0.2558304333
234	0.255809871
235	0.2557287521
236	0.2557016604
237	0.2556349581
238	0.2555957477
239	0.2554822036
240	0.2553490161
241	0.255305022
242	0.2552258497
243	0.2551429458
244	0.2550424384
245	0.2549846483
246	0.2549012918
247	0.2548706654
248	0.2546635959
249	0.2545856153
250	0.2544862888
251	0.2544783475
252	0.2543327417
253	0.2542278774
254	0.2542277197
255	0.2541963686
256	0.254037959
257	0.2540226987
258	0.2540186178
259	0.2539513608
260	0.2538641589
261	0.2537530055
262	0.2537505117
263	0.2536890027
264	0.2536336093
265	0.2535802876
266	0.2534669093
267	0.2533001694
268	0.2532392421
269	0.253225809
270	0.2531284296
271	0.2530759122
272	0.2530192042
273	0.2530190825
274	0.2529085938
275	0.2528463946
276	0.2527528768
277	0.2526496291
278	0.2525815725
279	0.2524888741
280	0.252435097
281	0.2524259728
282	0.2523445361
283	0.2522932799
284	0.252275449
285	0.2521392105
286	0.2520918125
287	0.2519621616
288	0.2519273908
289	0.2517978969
290	0.2516886452
291	0.2515841946
292	0.2514765294
293	0.2513614291
294	0.2512454032
295	0.2512288672
296	0.251203137
297	0.2511055336
298	0.2510325933
299	0.2509650398
300	0.2509649232
301	0.2508494106
302	0.2508078896
303	0.2506352352
304	0.2505737842
305	0.2505206453
306	0.2504261004
307	0.2503522723
308	0.2503492401
309	0.2502882859
310	0.2502573231
311	0.2501455789
312	0.2500594708
313	0.2500128269
314	0.2499357735
315	0.2499356686
316	0.2498533939
317	0.2497755029
318	0.2496989236
319	0.2496540103
320	0.2495709699
321	0.2494870237
322	0.2493967061
323	0.2493657472
324	0.2493049482
325	0.2492085981
326	0.2491459654
327	0.2490919357
328	0.249077645
329	0.2489475638
330	0.24886945
331	0.2488054296
332	0.2487647476
333	0.2486302132
334	0.2485939762
335	0.2484637355
336	0.2483862746
337	0.2483049439
338	0.2482322311
339	0.248131734
340	0.2480831872
341	0.2479992956
342	0.2479827698
343	0.2479359818
344	0.2478684596
345	0.2478171006
346	0.2477464303
347	0.2476879945
348	0.2475453535
349	0.2474774202
350	0.2473512241
351	0.2472181366
352	0.2471441074
353	0.2470531379
354	0.2469771592
355	0.2469311685
356	0.2467930424
357	0.2467266556
358	0.2467177649
359	0.2465328625
360	0.2464037614
361	0.2463588886
362	0.2462995583
363	0.2462289091
364	0.2461639354
365	0.2460628214
366	0.245937675
367	0.2457219677
368	0.2456245941
369	0.245486211
370	0.2453908737
371	0.2453448983
372	0.2452439154
373	0.2451636582
374	0.2451204301
375	0.2450062996
376	0.244884509
377	0.2448240663
378	0.2447728136
379	0.2446915656
380	0.2446441461
381	0.2445860287
382	0.2445255861
383	0.2443816411
384	0.2443111083
385	0.2442075235
386	0.2441064414
387	0.2440194758
388	0.2439867402
389	0.2439256839
390	0.2438487453
391	0.2438051193
392	0.2437193126
393	0.2436834494
394	0.2435942684
395	0.2434401245
396	0.243388555
397	0.2433019986
398	0.2432603773
399	0.2431398965
400	0.2431004868
401	0.2429850825
402	0.2429298361
403	0.2428926996
404	0.2428733393
405	0.2427634147
406	0.2426980964
407	0.2425546278
408	0.2425180116
409	0.2424726276
410	0.2423342145
411	0.2422740311
412	0.2422504186
413	0.2421211857
414	0.2420585533
415	0.242023402
416	0.2418996431
417	0.2418680317
418	0.2418333028
419	0.2417512203
420	0.2416875831
421	0.2416027055
422	0.2415091424
423	0.2414495661
424	0.2413741707
425	0.2412787664
426	0.2412126862
427	0.241159434
428	0.2410596498
429	0.2409480018
430	0.2408564472
431	0.2408229185
432	0.2407406347
433	0.240665987
434	0.2406011134
435	0.2405319147
436	0.2403992772
437	0.2403091728
438	0.2402085672
439	0.2401373415
440	0.2400752
441	0.2400314133
442	0.2399687757
443	0.2398909691
444	0.2398285094
445	0.2397208517
446	0.2396434097
447	0.2395036896
448	0.239413154
449	0.2393042078
450	0.2392182114
451	0.2391779267
452	0.239083694
453	0.23898346
454	0.2388826836
455	0.2387769893
456	0.2387050913
457	0.2386526442
458	0.2385630558
459	0.2384927553
460	0.2384309812
461	0.2383889479
462	0.2383004443
463	0.2382416653
464	0.2381229421
465	0.2380878224
466	0.2380146037
467	0.2378989051
468	0.2378160229
469	0.2377535016
470	0.2376649315
471	0.237601418
472	0.2375039698
473	0.2374079832
474	0.2373544021
475	0.2373227454
476	0.2372936961
477	0.2372274286
478	0.2371496288
479	0.2370561606
480	0.2370069234
481	0.2369171757
482	0.2368450108
483	0.2368138752
484	0.2366999395
485	0.2365907334
486	0.2365249923
487	0.2364388783
488	0.2363836695
489	0.236289115
490	0.2362193504
491	0.2361672971
492	0.2361340047
493	0.2359970153
494	0.2358762289
495	0.2357942058
496	0.2356990374
497	0.2356111669
498	0.2355717076
499	0.2354857147
500	0.23539657
501	0.2353347062
502	0.2352531737
503	0.2351545669
504	0.2350782094
505	0.2349846014
506	0.2348946247
507	0.2348339074
508	0.2347327738
509	0.2346811176
510	0.2346440513
511	0.23459299
512	0.2344994638
513	0.234403593
514	0.2343159952
515	0.234260926
516	0.2341971752
517	0.2341249109
518	0.2340726649
519	0.2339793034
520	0.2338904831
521	0.2337997304
522	0.2337405577
523	0.2336609858
524	0.2335689535
525	0.2334461116
526	0.233334882
527	0.2332702616
528	0.2331819091
529	0.2330289431
530	0.2329340089
531	0.2328355832
532	0.2327473726
533	0.2326893593
534	0.2325991281
535	0.2325266451
536	0.2324576464
537	0.2323531721
538	0.2322816874
539	0.2322337936
540	0.2321589468
541	0.2320844262
542	0.2320054499
543	0.2319197312
544	0.2318431815
545	0.2317627397
546	0.2316558862
547	0.2315920404
548	0.2315089708
549	0.2314289623
550	0.2313545545
551	0.2312821966
552	0.2311971153
553	0.2311077776
554	0.2310200305
555	0.2309507438
556	0.2308723945
557	0.2308204172
558	0.2307775441
559	0.2307237906
560	0.2306831732
561	0.2306349147
562	0.2305877004
563	0.2304970359
564	0.2304073594
565	0.2303530201
566	0.2302973424
567	0.2302534695
568	0.2301694725
569	0.2301334337
570	0.2300516053
571	0.2299871611
572	0.2299484071
573	0.22991047
574	0.2298338916
575	0.2297474757
576	0.2296893004
577	0.2296017358
578	0.2294782351
579	0.2293714475
580	0.229294039
581	0.2291714347
582	0.2291154559
583	0.2290902549
584	0.2289957248
585	0.2288787424
586	0.2288193101
587	0.2287396597
588	0.2286890516
589	0.2286242416
590	0.2285855955
591	0.2285308227
592	0.2284335947
593	0.2283527945
594	0.228282211
595	0.2281827958
596	0.2280946205
597	0.227976329
598	0.2279004676
599	0.2278220355
600	0.2277405715
601	0.2276649494
602	0.2275736076
603	0.2274769325
604	0.2274074445
605	0.2273429776
606	0.22728306
607	0.2272450256
608	0.2271141532
609	0.2270668083
610	0.2270191338
611	0.2269236857
612	0.2268307744
613	0.2267535761
614	0.2267269328
615	0.226626714
616	0.2265539498
617	0.226504183
618	0.2264724025
619	0.2264613995
620	0.226388291
621	0.2263120682
622	0.2262353332
623	0.2261659551
624	0.2260401493
625	0.2260030807
626	0.2259284282
627	0.2258759174
628	0.2257993237
629	0.225731075
630	0.2256247821
631	0.2255109933
632	0.2254592855
633	0.2253926313
634	0.2253304662
635	0.2252511025
636	0.2251806316
637	0.2250968172
638	0.2250860998
639	0.2249821799
640	0.2249185768
641	0.2249029168
642	0.2248110852
643	0.224730504
644	0.2246348281
645	0.2245883658
646	0.2245308894
647	0.2244510341
648	0.2243959264
649	0.2243308661
650	0.2242476116
651	0.2241850349
652	0.2241047298
653	0.2240525418
654	0.2239293758
655	0.2238763518
656	0.2238301772
657	0.2237698637
658	0.2236959598
659	0.2236250392
660	0.2235818358
661	0.2235122631
662	0.2234511448
663	0.2234185407
664	0.223378485
665	0.2232693848
666	0.2232208339
667	0.2231361941
668	0.2230710158
669	0.222982722
670	0.2229070086
671	0.2228111262
672	0.2227111626
673	0.2226652547
674	0.2225293814
675	0.2224679685
676	0.2223733369
677	0.2222704965
678	0.2222318652
679	0.2221859595
680	0.2221251319
681	0.2220452495
682	0.2220252636
683	0.221963251
684	0.2219001604
685	0.2218117825
686	0.2218019694
687	0.2217400704
688	0.2216558973
689	0.2215773394
690	0.2214853501
691	0.2214467727
692	0.2213605002
693	0.2213077287
694	0.2212632026
695	0.2212004007
696	0.2211096313
697	0.2210208718
698	0.220970738
699	0.2209212612
700	0.2208208981
701	0.2207655401
702	0.2206797779
703	0.2206365056
704	0.2205668102
705	0.2205326824
706	0.2204602038
707	0.220404387
708	0.2203506311
709	0.2202978006
710	0.2202008601
711	0.2201525104
712	0.2201018568
713	0.2200479396
714	0.2199904628
715	0.2199422146
716	0.2198769028
717	0.2198417169
718	0.2197902922
719	0.2197585005
720	0.2196569761
721	0.2195793809
722	0.2195055579
723	0.2194209343
724	0.2193684915
725	0.2193318164
726	0.2192790502
727	0.2192029292
728	0.21913716
729	0.2190190279
730	0.2189623574
731	0.2188952818
732	0.2188037112
733	0.2187143273
734	0.2187073693
735	0.2186306638
736	0.218555458
737	0.2185071219
738	0.2184761087
739	0.2184297999
740	0.2183677779
741	0.2183321188
742	0.2182667763
743	0.2182075604
744	0.2181723564
745	0.2181214596
746	0.2180357493
747	0.2179769711
748	0.2179235821
749	0.217833964
750	0.2177881826
751	0.2177062448
752	0.2176321826
753	0.2175620955
754	0.2175100152
755	0.217461548
756	0.2173849012
757	0.2173337525
758	0.2172796174
759	0.2172522462
760	0.2172191531
761	0.217152167
762	0.2171114196
763	0.2170857034
764	0.2169674307
765	0.2168793968
766	0.2168095011
