iter	Passed	Remaining
0	87	87190
1	107	53515
2	131	43784
3	155	38799
4	175	35014
5	199	33097
6	223	31649
7	249	30878
8	276	30391
9	303	30094
10	329	29641
11	354	29189
12	377	28634
13	403	28393
14	427	28053
15	452	27846
16	476	27540
17	501	27367
18	525	27141
19	552	27068
20	576	26867
21	601	26749
22	629	26740
23	653	26567
24	679	26493
25	705	26412
26	731	26363
27	756	26272
28	785	26307
29	792	25620
30	817	25559
31	889	26907
32	917	26879
33	926	26315
34	932	25708
35	954	25568
36	972	25311
37	996	25235
38	1018	25108
39	1040	24981
40	1065	24924
41	1102	25158
42	1117	24876
43	1133	24636
44	1160	24619
45	1183	24534
46	1205	24449
47	1231	24415
48	1254	24345
49	1280	24325
50	1285	23928
51	1293	23584
52	1318	23561
53	1345	23573
54	1368	23517
55	1396	23544
56	1402	23197
57	1429	23209
58	1453	23185
59	1480	23192
60	1506	23186
61	1563	23647
62	1645	24479
63	1697	24830
64	1734	24956
65	1762	24944
66	1788	24909
67	1821	24966
68	1851	24988
69	1883	25028
70	1910	25000
71	1931	24896
72	1958	24864
73	1981	24792
74	2004	24723
75	2029	24672
76	2043	24494
77	2048	24219
78	2077	24222
79	2103	24184
80	2131	24178
81	2154	24120
82	2204	24352
83	2231	24329
84	2253	24262
85	2278	24216
86	2300	24139
87	2324	24095
88	2347	24028
89	2363	23900
90	2386	23836
91	2411	23798
92	2434	23746
93	2459	23701
94	2481	23636
95	2503	23571
96	2527	23529
97	2549	23470
98	2575	23438
99	2597	23375
100	2620	23323
101	2643	23269
102	2664	23207
103	2691	23191
104	2713	23132
105	2738	23099
106	2761	23048
107	2784	22995
108	2808	22954
109	2830	22901
110	2856	22879
111	2867	22736
112	2889	22679
113	2911	22627
114	2933	22577
115	2958	22546
116	2981	22499
117	3005	22464
118	3028	22417
119	3050	22369
120	3075	22338
121	3097	22292
122	3116	22222
123	3140	22185
124	3162	22139
125	3186	22105
126	3209	22060
127	3231	22016
128	3255	21980
129	3278	21939
130	3303	21910
131	3326	21872
132	3349	21831
133	3373	21799
134	3395	21758
135	3419	21727
136	3443	21688
137	3464	21642
138	3488	21605
139	3510	21564
140	3535	21541
141	3557	21496
142	3580	21455
143	3605	21434
144	3618	21338
145	3642	21307
146	3665	21269
147	3691	21248
148	3715	21219
149	3742	21207
150	3765	21169
151	3792	21155
152	3820	21149
153	3846	21129
154	3876	21133
155	3900	21103
156	3924	21073
157	3946	21031
158	3971	21008
159	3994	20969
160	4018	20940
161	4040	20902
162	4063	20865
163	4087	20837
164	4110	20799
165	4135	20776
166	4150	20701
167	4172	20664
168	4194	20625
169	4218	20596
170	4240	20559
171	4260	20508
172	4284	20480
173	4306	20441
174	4311	20326
175	4336	20304
176	4359	20269
177	4383	20243
178	4406	20209
179	4428	20174
180	4438	20085
181	4460	20048
182	4484	20021
183	4493	19925
184	4506	19852
185	4528	19820
186	4555	19804
187	4583	19796
188	4605	19761
189	4629	19735
190	4654	19713
191	4683	19708
192	4707	19684
193	4715	19589
194	4739	19564
195	4762	19534
196	4783	19499
197	4807	19471
198	4834	19460
199	4859	19439
200	4884	19415
201	4906	19382
202	4924	19334
203	4938	19268
204	4960	19238
205	4985	19215
206	5004	19172
207	5026	19140
208	5050	19114
209	5072	19081
210	5094	19049
211	5117	19022
212	5139	18991
213	5163	18966
214	5186	18935
215	5208	18904
216	5232	18882
217	5255	18851
218	5278	18825
219	5301	18795
220	5323	18766
221	5348	18742
222	5370	18712
223	5393	18683
224	5416	18658
225	5438	18626
226	5463	18603
227	5485	18573
228	5508	18545
229	5533	18524
230	5555	18494
231	5579	18471
232	5603	18444
233	5625	18415
234	5641	18365
235	5666	18343
236	5689	18317
237	5715	18297
238	5737	18268
239	5759	18238
240	5782	18210
241	5804	18181
242	5830	18163
243	5855	18142
244	5881	18125
245	5907	18105
246	5931	18081
247	5953	18052
248	5977	18029
249	6001	18003
250	6025	17979
251	6036	17919
252	6060	17895
253	6082	17865
254	6088	17787
255	6101	17733
256	6126	17712
257	6143	17667
258	6151	17599
259	6176	17578
260	6198	17549
261	6220	17522
262	6230	17460
263	6252	17431
264	6276	17409
265	6298	17380
266	6320	17352
267	6344	17329
268	6366	17302
269	6380	17250
270	6402	17222
271	6426	17200
272	6449	17173
273	6454	17101
274	6477	17078
275	6500	17051
276	6524	17030
277	6547	17004
278	6570	16978
279	6594	16957
280	6616	16930
281	6630	16882
282	6653	16856
283	6678	16837
284	6700	16809
285	6724	16787
286	6746	16759
287	6768	16734
288	6793	16713
289	6816	16688
290	6843	16672
291	6865	16647
292	6890	16625
293	6912	16599
294	6934	16572
295	6958	16549
296	6980	16522
297	7002	16495
298	7026	16473
299	7048	16446
300	7055	16384
301	7077	16357
302	7098	16329
303	7123	16309
304	7146	16284
305	7171	16265
306	7193	16238
307	7216	16214
308	7232	16173
309	7256	16151
310	7278	16124
311	7300	16098
312	7325	16078
313	7347	16051
314	7369	16024
315	7376	15966
316	7397	15938
317	7422	15918
318	7444	15893
319	7467	15867
320	7491	15846
321	7513	15820
322	7537	15798
323	7559	15772
324	7582	15748
325	7606	15726
326	7628	15700
327	7651	15675
328	7676	15655
329	7698	15629
330	7723	15610
331	7746	15585
332	7769	15563
333	7792	15537
334	7814	15511
335	7842	15497
336	7867	15478
337	7890	15455
338	7913	15429
339	7937	15407
340	7959	15381
341	7982	15358
342	8003	15330
343	8027	15307
344	8052	15287
345	8076	15266
346	8102	15247
347	8127	15227
348	8153	15208
349	8176	15184
350	8201	15164
351	8223	15139
352	8245	15113
353	8269	15091
354	8292	15066
355	8314	15040
356	8339	15019
357	8361	14994
358	8374	14953
359	8397	14928
360	8421	14906
361	8444	14882
362	8468	14861
363	8494	14841
364	8519	14820
365	8542	14798
366	8568	14778
367	8590	14753
368	8616	14734
369	8640	14711
370	8668	14697
371	8692	14675
372	8718	14655
373	8742	14633
374	8768	14613
375	8790	14588
376	8818	14572
377	8843	14551
378	8869	14532
379	8891	14507
380	8915	14484
381	8938	14461
382	8961	14436
383	8986	14415
384	9008	14390
385	9034	14370
386	9057	14346
387	9084	14328
388	9108	14306
389	9136	14289
390	9160	14267
391	9186	14248
392	9210	14225
393	9238	14209
394	9262	14186
395	9287	14166
396	9310	14142
397	9334	14119
398	9357	14095
399	9382	14073
400	9404	14048
401	9427	14024
402	9451	14001
403	9474	13977
404	9497	13953
405	9520	13928
406	9542	13902
407	9569	13885
408	9592	13861
409	9618	13841
410	9642	13819
411	9673	13805
412	9699	13786
413	9723	13763
414	9750	13744
415	9772	13719
416	9798	13699
417	9823	13677
418	9849	13658
419	9876	13638
420	9900	13616
421	9925	13594
422	9949	13571
423	9971	13546
424	9995	13523
425	10019	13500
426	10042	13475
427	10066	13453
428	10089	13429
429	10114	13407
430	10136	13381
431	10162	13361
432	10185	13337
433	10207	13312
434	10231	13288
435	10253	13263
436	10275	13237
437	10298	13213
438	10320	13189
439	10345	13167
440	10369	13144
441	10390	13117
442	10415	13096
443	10437	13070
444	10462	13048
445	10483	13021
446	10505	12997
447	10530	12974
448	10552	12949
449	10578	12929
450	10600	12904
451	10624	12880
452	10650	12860
453	10673	12836
454	10697	12813
455	10719	12787
456	10741	12762
457	10765	12739
458	10786	12713
459	10811	12691
460	10835	12668
461	10857	12643
462	10880	12620
463	10903	12595
464	10927	12572
465	10949	12547
466	10972	12523
467	10996	12500
468	11018	12475
469	11042	12452
470	11064	12427
471	11086	12401
472	11109	12378
473	11132	12353
474	11154	12328
475	11176	12304
476	11198	12278
477	11220	12253
478	11244	12230
479	11266	12205
480	11287	12179
481	11313	12158
482	11335	12133
483	11359	12110
484	11380	12084
485	11402	12059
486	11426	12036
487	11449	12012
488	11471	11987
489	11495	11964
490	11517	11939
491	11540	11916
492	11564	11892
493	11585	11867
494	11609	11843
495	11631	11819
496	11654	11795
497	11679	11773
498	11702	11749
499	11726	11726
500	11748	11701
501	11770	11676
502	11795	11654
503	11819	11632
504	11845	11611
505	11869	11587
506	11892	11564
507	11914	11539
508	11937	11515
509	11960	11491
510	11981	11466
511	12006	11443
512	12028	11419
513	12050	11394
514	12073	11370
515	12095	11345
516	12118	11321
517	12142	11299
518	12165	11274
519	12189	11251
520	12211	11227
521	12233	11202
522	12257	11179
523	12278	11153
524	12300	11129
525	12324	11106
526	12346	11081
527	12368	11056
528	12391	11032
529	12414	11009
530	12439	10987
531	12462	10962
532	12484	10938
533	12508	10915
534	12530	10890
535	12556	10869
536	12577	10844
537	12599	10820
538	12624	10797
539	12647	10773
540	12671	10750
541	12693	10726
542	12716	10702
543	12741	10680
544	12763	10655
545	12787	10632
546	12811	10610
547	12836	10587
548	12859	10563
549	12881	10539
550	12904	10515
551	12926	10490
552	12948	10466
553	12972	10443
554	12993	10418
555	13016	10394
556	13040	10371
557	13063	10347
558	13086	10324
559	13109	10299
560	13131	10275
561	13155	10252
562	13178	10229
563	13199	10204
564	13223	10180
565	13245	10156
566	13268	10132
567	13290	10108
568	13312	10083
569	13336	10060
570	13358	10036
571	13380	10011
572	13407	9991
573	13429	9966
574	13453	9943
575	13474	9918
576	13497	9894
