iter	Logloss
0	0.4676281959
1	0.3943272041
2	0.366643039
3	0.3568186052
4	0.3530148188
5	0.3483733067
6	0.3467544486
7	0.3443711043
8	0.3441121921
9	0.3428980897
10	0.3428111714
11	0.3423983631
12	0.3422560882
13	0.3422302544
14	0.3422217864
15	0.3421198799
16	0.3420663729
17	0.3420367657
18	0.3419082243
19	0.3419081819
20	0.3418701152
21	0.3418118646
22	0.3417611901
23	0.3417587161
24	0.3417560958
25	0.3416771831
26	0.3416751345
27	0.3416669994
28	0.3416645344
29	0.341660128
30	0.3416565645
31	0.3416558958
32	0.3416212281
33	0.3416191183
34	0.3416178917
35	0.341612367
36	0.3416089995
37	0.3415556155
38	0.3415549506
39	0.3415532613
40	0.3415521266
41	0.3415196477
42	0.3415131735
43	0.3415090572
44	0.3415079994
45	0.341505132
46	0.3415023218
47	0.341501627
48	0.3414896544
49	0.3414860408
50	0.3414775358
51	0.3414674473
52	0.3414229076
53	0.3414215744
54	0.3414213456
55	0.3414201668
56	0.3414051211
57	0.3414045103
58	0.3414037751
59	0.3413944556
60	0.3413906242
61	0.3413892354
62	0.3413869642
63	0.3413865743
64	0.3413861568
65	0.3413854149
66	0.3413853206
67	0.3413829876
68	0.3413713848
69	0.3413631083
70	0.3413630222
71	0.3413625869
72	0.3413527785
73	0.34135124
74	0.3413510839
75	0.3413485189
76	0.3413482917
77	0.3413479205
78	0.34134735
79	0.3413232193
