iter	Passed	Remaining
0	521	41159
1	966	37679
2	1419	36445
3	1853	35219
4	2273	34104
5	2712	33448
6	2961	30887
7	3362	30263
8	3800	29982
9	4262	29840
10	4705	29514
11	5195	29440
12	5598	28852
13	6041	28479
14	6436	27892
15	6845	27380
16	7092	26282
17	7527	25928
18	7984	25633
19	8370	25112
20	8821	24784
21	9255	24400
22	9657	23933
23	10089	23541
24	10617	23358
25	11006	22859
26	11431	22439
27	11846	22000
28	12293	21620
29	12742	21238
30	13136	20764
31	13577	20365
32	14003	19944
33	14448	19547
34	14916	19177
35	15328	18735
36	15777	18336
37	16220	17927
38	16657	17511
39	17074	17074
40	17474	16621
41	17896	16192
42	18335	15777
43	18759	15348
44	19143	14889
45	19560	14457
46	19967	14019
47	20411	13607
48	20883	13212
49	21305	12783
50	21759	12373
51	22204	11956
52	22665	11546
53	23071	11108
54	23470	10668
55	23901	10243
56	24336	9819
57	24811	9411
58	25234	8981
59	25637	8545
60	26079	8123
61	26536	7704
62	26937	7268
63	27380	6845
64	27782	6411
65	28199	5981
66	28648	5558
67	29113	5137
68	29594	4717
69	30156	4308
70	30712	3893
71	31264	3473
72	31738	3043
73	32157	2607
74	32600	2173
75	33047	1739
76	33464	1303
77	33858	868
78	34310	434
79	34747	0
